video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"nT-VEJAFqrU","CUỘC GỌI LÚC NỬA ĐÊM  | Hai Anh Em Phần 234 | Phim Ngắn Hài Hước Hay Nhất Gãy TV","2021-06-22T13:00:13Z","UCTp_WPPxWCjdlXK9kqzxm0A","Gãy Media","24","21.25.06","gãy media|gãy tv media|gãy tv mới nhất 2019|gãy tv 2019|đừng coi thườn người khác|đừng coi thường bất kỳ ai|đừng bao giờ coi thường người khác|hài hước|phim ngắn hài hước|anh thợ xây|hài|phim hài|phim hài hước|phim hài mới nhất|phim học đường hài hước|hai anh em gãy media|phim hài hai anh em|phim hài gãy media|hai anh em cuộc gọi lúc nửa đêm|cuộc gọi lúc nửa đêm|cuoc goi luc nua dem|gãy tv 2021|gãy tv media tập mới nhất","3456327","42505","2163","2720","https://i.ytimg.com/vi/nT-VEJAFqrU/default.jpg","False","False","CUỘC GỌI LÚC NỬA ĐÊM  | Hai Anh Em Phần 234 | Phim Ngắn Hài Hước Hay Nhất Gãy TV►Gãy Media là một kênh Youtube chuyên sản xuất Parody nhạc chế, Phim ngắn tình cảm, hài hước... đem lại những giây phút giải trí cho tất cả mọi người sau những giờ làm việc căng thẳng.**/// Nếu trong khi xem phim có xuất hiện quảng cáo, hãy xem hoặc click quảng cáo để ủng hộ chúng tôi ///***------------------------------------Ⓕ Facebook➤ Kịch bản & đạo diễn :- Yến Xôi : facebook.com/nguyenthiyen28➤ Diễn viên : - Nhung Thị : facebook.com/nhunggaytv- Phương Thảo : facebook.com/phuongthaogaytv- Thùy Anh : facebook.com/thuyanhgaytv- Minh Hiếu : facebook.com/minhhieugaytv- Nhật Dương : facebook.com/nhatduonggaytv- Quốc Tuấn : facebook.com/quoctuangaytv- Thiên An : facebook.com/thienangaytv- Nhung Gem : facebook.com/nhunggemgaytv- Nhiên : facebook.com/nhiengaytv➤ Quay phim, dựng phim : - Ngọc Đại : facebook.com/NgocDaiGayTV- Chiến 9C : facebook.com/chien9c- Đường Minh Giang : facebook.com/boy.pro.lame- Hoàng Duy Phú : facebook.com/MuaLaBay888------------------------------------➤ Đăng kí để xem nhiều hơn tại: Gãy TV, Gãy Media & Gãy School❖ Công ty cổ phần truyền thông 88 Entertainment     • Viral Videos     • Short Film     • Music Videos     • TVC     • Infographic & Animation Videos❖ Liên Hệ :     • Facebook : facebook.com/hieuyenanhlinh     • Email : gaymedia88@gmail.com------------------------------------© Bản quyền thuộc về Gãy Media & 88 Entertainment© Copyright by Gãy Media & 88 Entertainment ☞ Do not Reup"
"_svDDxhNyrg","Cây Táo Nở Hoa - Tập 36 | Phim gia đình Việt 2021","2021-06-23T14:00:15Z","UCkna2OcuN1E6u5I8GVtdkOw","Vie Channel - HTV2","24","21.25.06","htv2|vie channel|thuy ngan|nha phuong|hong anh|thai hoa|song luan|thúy ngân|nhã phương|trương thế vinh|phim việt|pim việt 2021|phim gia đình|nsnd lan hương|cay tao no hoa|cây táo|nở hoa|cây táo nở hoa|phim bộ việt nam|tình cảm gia đình|thái hòa|cây táo nở hoa full|cay tao no hoa full|cây táo nở hoa tập 36|tap 36 cay tao no hoa|cây táo nở hoa 36|cay tao no hoa tap 36|tập 36 cây táo nở hoa","2392048","15725","1629","4737","https://i.ytimg.com/vi/_svDDxhNyrg/default.jpg","False","False","#Tập36 #CâyTáoNởHoa​ #VieChannelHTV2​#Tap36 #CayTaoNoHoa#Tập_36 #Cây_Táo_Nở_Hoa#Tap_36 #Cay_Tao_No_Hoa#PhimViệt2021​ #Phim_Việt_2021#TháiHòa #HồngÁnh #NhãPhương #ThúyNgân #TrươngThếVinh #SongLuân#Thái_Hòa #Hồng_Ánh #Nhã_Phương #Thúy_Ngân #Trương_Thế_Vinh #Song_Luân#CâyTáoNởHoa #CayTaoNoHoa #VieChannelHTV2​ #PhimViệt2021Đăng ký ngay tài khoản VIP để xem sớm trước 5 ngày trên VieON.Đón xem CÂY TÁO NỞ HOA lúc 20:00 Thứ 2-3-4 từ ngày 5/4/2021 trên kênh truyền hình Vie Channel – HTV2, Vie Giải Trí, Youtube Vie Channel và ứng dụng VieON.#NamNgu #CaComTuoi#CâyTáoNởHoa là dự án phim đầu tiên đôi bạn chung lớp Thúy Ngân - Nhã Phương cùng hợp tác, bên cạnh những tên tuổi quen thuộc khán giả như: #Thái_Hòa, #Hồng_Ánh, #Trương_Thế_Vinh, #Song_Luân, #NSƯT_Công Ninh, #NSND_Lan_Hương, #NSƯT_Quốc_Trọng, #NSƯT_Mỹ_Duyên, #Văn_Anh, #Minh_Trang, #Đỗ_An, #Kim_Nhã, #B_Trần, #Hoàng_Phi, #Trịnh_Thảo, #Oanh_Kiều, #Xuân_Phúc, #Trâm_Anh📣 Đừng quên subscribe để xem thật nhiều phim mới nhé! 🎈 Subscribe ngay: http://bit.ly/VieChannelHTV2Xem các chương trình hấp dẫn khác của Vie Channel - HTV2:►Siêu Trí Tuệ Full: https://bit.ly/SieuTriTue_Mua2_Full►Rap Việt Full: http://bit.ly/RAPVIET_official_playlistFULL►Người Ấy Là Ai Full: https://bit.ly/2XnUnQJ►Hải Đường Trong Gió Full: https://bit.ly/31iPKZA►Nhanh Như Chớp Nhí Full: https://bit.ly/2EC1m1Q►Ai Là Số 1 Full: https://bit.ly/2xMrL9I►Đưa Em Về Nhà Full: https://bit.ly/3bRRzAhHoặc xem thêm trên hệ thống Vie Channel - HTV2:►Website: http://viechannel.vn/►Fanpage: https://www.facebook.com/VieChannelHTV2/►Instagram: https://www.instagram.com/viechannelhtv2/"
"S25jL2fVSec","NHIỀU TIỀN ĐỂ LÀM GÌ | Đại Học Du Ký Phần 195 | Phim Ngắn Siêu Hài Hước Sinh Viên Hay Nhất Gãy TV","2021-06-23T13:00:12Z","UCzLr0-nMvZ2Mc3XgA_2b6hw","Gãy TV","24","21.25.06","gãy tv|gãy tv mới nhất|gãy tv mới nhất 2019|gãy tv 2019|đừng coi thườn người khác|đừng coi thường bất kỳ ai|đừng bao giờ coi thường người khác|parody|nhạc chế|hài hước|phim ngắn hài hước|hài|phim hài|phim hài hước|phim hài mới nhất|phim sinh viên|phim hài sinh viên|đại học du ký gãy tv|phim hài đại học du ký|phim hài gãy tv|đại học du ký nhiều tiền để làm gì|nhiều tiền để làm gì|nhieu tien de lam gi|gãy tv 2021|gãy tv media tập mới nhất","2391339","32378","1523","1881","https://i.ytimg.com/vi/S25jL2fVSec/default.jpg","False","False","NHIỀU TIỀN ĐỂ LÀM GÌ | Đại Học Du Ký Phần 195 | Phim Ngắn Siêu Hài Hước Sinh Viên Hay Nhất Gãy TV►Gãy TV là một kênh Youtube chuyên sản xuất Parody nhạc chế, Phim ngắn tình cảm, hài hước... đem lại những giây phút giải trí cho tất cả mọi người sau những giờ làm việc căng thẳng.**/// Nếu trong khi xem phim có xuất hiện quảng cáo, hãy xem hoặc click quảng cáo để ủng hộ chúng tôi ///***------------------------------------Ⓕ Facebook➤ Kịch bản & đạo diễn :- Yến Xôi : facebook.com/nguyenthiyen28➤ Diễn viên : - Nhung Thị : facebook.com/nhunggaytv- Phương Thảo : facebook.com/nptgaytv- Thùy Anh : facebook.com/thuyanhgaytv- Minh Hiếu : facebook.com/minhhieugaytv- Hồ Việt Hoàng : facebook.com/hoanghogaytv- Nhật Dương : facebook.com/nhatduonggaytv.​- Quốc Tuấn : facebook.com/quoctuangaytv- Thiên An : facebook.com/thienangaytv- Nhung Gem : facebook.com/nhunggemgaytv- Nhiên : facebook.com/nhiengaytv➤ Quay phim, dựng phim : - Ngọc Đại : facebook.com/NgocDaiGayTV- Chiến 9C : facebook.com/chien9c- Đường Minh Giang : facebook.com/boy.pro.lame- Hoàng Duy Phú : facebook.com/MuaLaBay888------------------------------------➤ Đăng kí để xem nhiều hơn tại: Gãy TV, Gãy Media & Gãy School❖ Công ty cổ phần truyền thông 88 Entertainment     • Viral Videos     • Short Film     • Music Videos     • TVC     • Infographic & Animation Videos❖ Liên Hệ :     • Email : gaymedia88@gmail.com------------------------------------© Bản quyền thuộc về Gãy TV & 88 Entertainment© Copyright by Gãy TV & 88 Entertainment ☞ Do not Reup"
"4RGcBkXKHsE","Tony | TẤM CÁM - Tập 3: Mẹ Con Trời Đánh","2021-06-16T01:00:01Z","UCKl0tA90oEArasOGzp8I41g","Tony TV","1","21.25.06","tony tv|tony|tony tv mới nhất|vinh tony|to ny tv|tony tv troll|tonytv|tony thử thách|anh tony|tony thu thach|tony vlogs|anh tony tv|team tony|tony team|tấm cám|truyen co tich tam cam|tấm cám tony kể|phim co tich tam cam|tony cổ tích|tony phim tấm cám|tấm cám tập cuối|tấm cám tập 3|tony tấm cám|tấm cám thời hiện đại|co tich tam cam|tony phim cổ tích|tấm cám tập 2|tấm cám tập 1|tony phim hài","7247885","106578","9018","0","https://i.ytimg.com/vi/4RGcBkXKHsE/default.jpg","True","False","Tập cuối của phim cổ tích Tấm Cám. Sau tất cả giông bão thì Thiện luôn thắng cái Ác. Cảm ơn mọi người đã xem & ủng hộ 3 tập phim của team. Chúc mọi người xem video vui vẻ!-------------------/-----------------------------------------🔔 Đăng ký kênh Tony TV tại đây: http://metub.net/TonyTV  🔔 Đăng ký kênh Tony Vlogs tại đây: https://bit.ly/2OkNokn-------------------/-----------------------------------------NHẬN HỢP TÁC QUẢNG CÁO - VUI LÒNG LIÊN HỆ: ✉️ Email: phucvinh.pelc@gmail.com-------------------/-----------------------------------------* I really respect creators so If you have any wonders related to the COPYRIGHT, please send email to me, we will find out the suitable solution. Thanks so much for your co-operation.** Tôi luôn tôn trọng người làm video nên nếu bạn có bất kì vấn đề nào liên quan đến bản quyền, vui lòng gửi mình 1 email để mình cùng nhau thống nhất cách giải quyết. Cảm ơn sự hợp tác từ bạn!!!-------------------/-----------------------------------------© Bản quyền thuộc về Tony TV© Copyright By Tony TV & Do not Reup"
"S5nV81yvvuE","HƯƠNG VỊ TÌNH THÂN Trailer tập 48","2021-06-23T14:30:03Z","UCbZRzbCp0yELYpCUlc0hP7w","TVAd TV","24","21.25.06","[none]","1026912","3863","281","443","https://i.ytimg.com/vi/S5nV81yvvuE/default.jpg","False","False","#HươngVịTìnhThân #21hVTV1 #TVAd #VFChttps://www.facebook.com/TVAd01/ https://www.youtube.com/TVAdTV https://www.instagram.com/tvadpromo/"
"RxSERLJnIcI","Nữ Cảnh Sát Nóng Bỏng Ám Sát Trên Biển Trùm Khủng Bố Vừa Ra Tù Như Phim Hành Động | Nhiệm Vụ","2021-06-19T02:00:04Z","UC-TNThhWcYXgnBHgIJsUj1A","Trùm Phim","1","21.25.06","trùm phim|phim|phim hành động|phim hanh dong|phim võ thuật|phim vo thuat|phim hành động võ thuật|phim hanh dong vo thuat|phim hay|phim mới|phim moi|phim mới 2021|phim hay 2021|phim hành động mới|phim trung quốc|phim kiem hiep|phim kiếm hiệp hay|phim võ thuật 2021|phim hành động 2021|phim 2021|phim xã hội đen|phim kháng nhật|phim hành động hay|nhiệm vụ tối thượng|nhiệm vụ|diệp tuyền|nhiem vu|trùm khủng bố|ra tù|nữ cảnh sát nóng bỏng","1708786","0","0","238","https://i.ytimg.com/vi/RxSERLJnIcI/default.jpg","False","True","⚔️ Tên Phim: NHIỆM VỤ TỐI THƯỢNG | Trùm Phim⚔️ Tổng Hợp Những Phân Đoạn Hay Nhất:https://youtube.com/watch?v=RxSERLJnIcI&list=PLtcAeBzSI-HwWqtNQT1A6Ztxmj5QliwpA⚔️ Tổng Hợp Những Thước Phim Hay Nhất: https://youtube.com/channel/UC-TNThhWcYXgnBHgIJsUj1A⚔️ Xem Trọn Bộ Thì Nhấn Vào Đây Nhé:https://youtube.com/watch?v=8i8xQ0DTmwU&list=PLC7TpnEHTRS0FahpsknPfSy3LcdwM5d4_&t=0s⚔️ Diễn Viên: Diệp Tuyền, Vu Địch Văn, Trương Thiên Kỳ                                     💣 ĐĂNG KÝ KÊNH NGAY 💣👿 ĐỂ KHÔNG BỎ LỠ NHỮNG VIDEO CHỌN LỌC HAY NHẤT TỪ TRÙM PHIM NHÉ 👿-----------------------------------Ⓣ Ⓡ Ⓤ Ⓜ .Ⓟ Ⓗ Ⓘ Ⓜ-----------------------------------#trumphim #NHIEMVUTOITHUONG #phimhay"
"KZH5RW5Ieho","Tập 6 CÔ GIÁO TÔI LÀ TRÙM CUỐI Phần 2 - My Teacher Is Big Boss 2 Eps. 6 | Thiên An","2021-06-18T12:30:08Z","UCjoAIOyTWjGjP_Q-qw3jkhQ","Thiên An Official","1","21.25.06","mi ngân|chị đại|thiên an|thien an|chi dai|Cô giáo tôi là trùm cuối|Co giao toi la trum cuoi|Cô giáo tôi là trùm cuối 2|Co giao toi la trum cuoi 2|My teacher is big boss|My teacher is big boss 2|Cô giáo tôi là chị đại|Co giao toi la chi dai|cô giáo tôi là trùm cuối tập 6|co giao toi la trum cuoi tap 6|cô giáo tôi là trùm cuối phần 2 tập 6|co giao toi la trum cuoi phan 2 tap 6","3256776","141435","2333","4560","https://i.ytimg.com/vi/KZH5RW5Ieho/default.jpg","False","False","Nhấn Đăng Ký giúp An sớm đạt 4 triệu subscribers nhaaaaaa- Fanpage của An : https://www.facebook.com/thienan.official/- Facebook cá nhân An : https://www.facebook.com/ThienAn.Youtuber- Facebook Group của An & các fan  : https://www.facebook.com/groups/ThienAnCung/- Tiktok của An : https://www.tiktok.com/@thienanofficial/ - Contact for Sponsor  : maptvteam@gmail.com  For booking  : Ms. Thanh - 0909 013 113An làm clip cực lắm nên đừng Re-Up tội nghiệp An, vậy An mất động lực làm clip lắm bạn nha. Mọi vấn đề liên quan bản quyền vui lòng gởi mail : maptvteam@gmail.com nha. An sẽ phản hồi sớm thôi"
"4XqHsepDsso","Hương Vị Tình Thân - Tập 47 | Anh sếp tặng nụ hôn nồng cháy khiến cô nàng ngổ ngáo đơ người","2021-06-23T14:45:00Z","UCuJ5k3GndbHnXLYyiIR6Z8Q","VTV Giải Trí Official","24","21.25.06","vtv giải trí|vtv giai tri|phim hay|phim vtv|phim mới nhất|phim việt nam hay|phim truyền hình|phim bộ hay|vtv|phim vtv1|phim vtv3|preview|phim hay 2021|phim truyền hình 2021|Hương Vị Tình Thân - Tập 47 | Anh sếp tặng nụ hôn nồng cháy khiến cô nàng ngổ ngáo đơ người|hương vị tình thân|hương vị tình thân tập 47|huong vi tinh than tap 47|huong vi tinh than vtv1|phim vtv1 huong vi tinh than|Phương Oanh|Thu Quỳnh|Mạnh Trường|NSND Như Quỳnh|Võ Hoài Nam","488835","2474","217","337","https://i.ytimg.com/vi/4XqHsepDsso/default.jpg","False","False","Thời cơ tới ! Anh sếp tặng nụ hôn nồng cháy khiến cô nàng ngổ ngáo đơ người | Hương Vị Tình Thân - Tập 47⏩  Tải ứng dụng VTV Giải Trí để xem trọn bộ phim và các phim hay khác:►  Android: http://bit.ly/2Q2oIC9►  iOS: https://apple.co/2Pr3EWj⏩  Hoặc truy cập website tại: https://www.vtvgiaitri.vn/🚩 Follow VTV Giải Trí: https://www.facebook.com/vtvgiaitri/© Bản quyền video thuộc VTV Giải Trí, không reupload dưới mọi hình thức.#huongvitinhthan #huongvitinhthantap47 #vtvgiaitri #phimvtv1"
"rPvj4xScRQA","PHÁP SƯ GANGSTER [TẬP 92] Hero Ink Sans","2021-06-20T10:00:09Z","UCENiXDtmWRPhkD1MycgCsHA","Thế Dũ Style","23","21.25.06","pháp sư gangster|the du cheno|the du team|sans|thế dũ style|thế dũ team|thế dũ channel|xì tin|xì trum|anh cương thi|chara|gaster|anh zombie|ink sans","2443005","26493","1776","2858","https://i.ytimg.com/vi/rPvj4xScRQA/default.jpg","False","False","Pháp sư Gangster Tập 92: người bạn thân của Sans cuối cùng cũng đã xuất hiện và cực kì mạnh, liệu Ink Sans có phải đối thủ của Error Sans và Gaster khát máu hay không, mời các bạn xem Tập 92 này nhé.Kênh Thế Dũ Style xây dựng 1 kênh phim hài dài tập có tên là Pháp sư Gangster, phim xoay quanh về một ông Pháp sư cùng biệt đội của mình tìm kiếm thế lực ma quái, những kẻ xấu xa để trừng trị. Trong hành trình đó chúng ta sẽ được trãi nghiệm những pha hài lầy lội và cũng không thiếu phần hấp dẫn của Biệt đội Gangster.Với mong muốn mang lại giá trị giải trí cao cho khán giả, Team càng ngày sẽ càng nâng cao chất lượng về mọi thứ để các bạn có trãi nghiệm xem phim tốt nhất. Cám ơn các bạn đã luôn ủng hộ Team Thế Dũ cho đến thời điểm này !Liên hệ quảng cáo qua: phamthedusale@gmail.comFacebook: https://www.facebook.com/hailua.thattha"
"lMaYNk_oa94","Chọn Ai Đây 2 | Tập 14: Bị cà khịa là diễn viên hài, S.T thả miếng lầy lội khiến Puka thích thú","2021-06-20T14:45:01Z","UCFMEYTv6N64hIL9FlQ_hxBw","ĐÔNG TÂY PROMOTION OFFICIAL","24","21.25.06","dong tay promotion|đông tây promotion|htv|chọn ai đây|chon ai day|chọn ai đây 2021|cad|Celebrity Squares|cờ ca rô|chọn ai đây mùa 2|chon ai day mua 2|mùa 2 chọn ai đây|Dương Lâm|Hoàng Phi|Puka|ST Sơn Thạch|Khả Như|chon ai day mua 2 tap 14|Trường Giang|Misthy|Cris Phan|Vinh Râu|Mạc Văn Khoa|cris devil gamer|chọn ai đây mùa 2 tập 14|chọn ai đây tập 14|ST Sơn Thạch Puka|Khả Như tỏ tình Song Luân|S.T puka|khả như song luân","1409333","7970","566","1000","https://i.ytimg.com/vi/lMaYNk_oa94/default.jpg","False","False","📌 Đăng ký casting khách mời tham gia Chọn Ai Đây: http://bit.ly/CastingCAD2📌Đón xem CHỌN AI ĐÂY MÙA 2 phát sóng lúc 20h30 Chủ nhật hàng tuần trên kênh HTV7.Chọn Ai Đây Mùa 2 - Tập 14 với màn đối đầu đầy kịch tính của 4 người chơi: Hồng Nhung, Huyền Diệu, Thanh Thảo, Ny Nguyễn👇Xem thêm Chọn Ai Đây Mùa 2 tại: https://bit.ly/ChonAiDayMua2👇Xem thêm Chọn Ai Đây Mùa 1 tại: https://bit.ly/ChonAiDay#Chọn_Ai_Đây #CAD #Chọn_Ai_Đây_Mùa_2#Mạc_Văn_Khoa #Misthy #Cris_Phan#Trường_Giang #Dương_Lâm #Hoàng_Phi #Puka #ST_Sơn_Thạch #Khả_Như #Vinh_RâuCelebrity Squares – Một trong những show truyền hình ăn khách hàng đầu trên thế giới lần đầu tiên có mặt tại Việt Nam với tên gọi Việt hoá là “Chọn Ai Đây”.Chọn Ai Đây không chỉ hồi hộp gay cấn bởi các màn đấu trí mà còn mang đến sự vui nhộn qua các màn pha trò, “chặt chém” nhau của các nghệ sĩ. 9 nghệ sĩ ngồi trên ghế “nóng” là những cái tên rất “hot” trong thời gian gần đây: Vinh Râu, Dương Lâm, Võ Hoàng Yến, Hoàng Phi, Puka, Mạc Văn Khoa, ST Sơn Thạch, Khả Như và được dẫn dắt bởi MC Trường Giang. Người chơi là bốn khách mời ngẫu nhiên, sẽ được thay đổi từng tuần.📣 Subscribe kênh ĐÔNG TÂY PROMOTION OFFICIAL để không bỏ lỡ các chương trình SIÊU HẤP DẪN: https://bit.ly/SubDTP📣 Subscribe kênh DONG TAY ENTERTAINMENT để xem các VIDEO HOT từ các show đỉnh nhất: https://bit.ly/SubDTE⏩ Bí mật HẬU TRƯỜNG https://bit.ly/HAUTRUONGDTP ⏩ SHOW HAY mỗi ngày https://bit.ly/showhotDTP 👉 CÁC SHOW HOT KHÁC: Ký Ức Vui Vẻ: https://bit.ly/KYUCVUIVEMUA3 7 Nụ Cười Xuân http://bit.ly/7NCX_Mua4 Siêu Bất Ngờ https://bit.ly/SIEUBATNGOMUA5 Nhanh Như Chớp: http://bit.ly/NNC_SS3 Ẩm Thực Kỳ Thú: https://bit.ly/AmThucKyThu Bài Hát Đầu Tiên: http://bit.ly/BAIHATDAUTIEN 👉 Theo dõi các kênh chính thức của Dong Tay Promotion - thuộc sở hữu của DatVietVAC tại:► Fanpage: https://www.facebook.com/DongTayPromotion► Instagram: https://www.instagram.com/dongtaypromotion.official/► TikTok: https://www.tiktok.com/@dongtaypromotionofficial"
